,0,1
Agra,1287950.6973066381,2478593.978234192
Bangalore,1254019.119738723,884484.4805370895
Chennai,1554029.5964530474,900657.015802786
Delhi,1209725.4271592102,2642413.951238487
Hyderabad,1345214.2937449778,1385934.6136548342
Jaipur,1071105.5967151108,2449927.38438616
Kolkata,2355111.0628718156,2017877.9547715057
Mumbai,752173.4746136796,1588371.5924712764
Mysore,1149404.334422458,807125.3837534231
Udaipur,852716.5405280265,2193796.239102052
Varanasi,1791850.5754750653,2287987.190069142
